Time	Node	Hits	Misses
1	0	0	39
1	1	11	26
1	2	0	26
1	3	0	26
2	0	0	69
2	1	27	40
2	2	0	40
2	3	0	40
3	0	0	99
3	1	51	46
3	2	0	46
3	3	0	46
4	0	0	129
4	1	75	52
4	2	0	52
4	3	0	52
5	0	0	159
5	1	97	60
5	2	0	60
5	3	0	60
6	0	0	189
6	1	121	66
6	2	0	66
6	3	0	66
7	0	0	219
7	1	149	68
7	2	0	68
7	3	0	68
8	0	0	249
8	1	174	73
8	2	0	73
8	3	0	73
9	0	0	279
9	1	201	76
9	2	0	76
9	3	0	76
10	0	0	309
10	1	228	79
10	2	0	79
10	3	0	79
11	0	0	339
11	1	258	79
11	2	0	79
11	3	0	79
12	0	0	369
12	1	286	81
12	2	0	81
12	3	0	81
13	0	0	399
13	1	316	81
13	2	0	81
13	3	0	81
14	0	0	429
14	1	344	83
14	2	0	83
14	3	0	83
15	0	0	459
15	1	373	84
15	2	0	84
15	3	0	84
16	0	0	489
16	1	401	86
16	2	0	86
16	3	0	86
17	0	0	519
17	1	430	87
17	2	0	87
17	3	0	87
18	0	0	549
18	1	460	87
18	2	0	87
18	3	0	87
19	0	0	579
19	1	487	90
19	2	0	90
19	3	0	90
20	0	0	609
20	1	516	91
20	2	0	91
20	3	0	91
21	0	0	639
21	1	546	91
21	2	0	91
21	3	0	91
22	0	0	669
22	1	574	93
22	2	0	93
22	3	0	93
23	0	0	699
23	1	603	94
23	2	0	94
23	3	0	94
24	0	0	729
24	1	632	95
24	2	0	95
24	3	0	95
25	0	0	759
25	1	662	95
25	2	0	95
25	3	0	95
26	0	0	789
26	1	692	95
26	2	0	95
26	3	0	95
27	0	0	819
27	1	720	97
27	2	0	97
27	3	0	97
28	0	0	849
28	1	750	97
28	2	0	97
28	3	0	97
29	0	0	879
29	1	779	98
29	2	0	98
29	3	0	98
30	0	0	909
30	1	809	98
30	2	0	98
30	3	0	98
31	0	0	939
31	1	839	98
31	2	0	98
31	3	0	98
32	0	0	969
32	1	867	100
32	2	0	100
32	3	0	100
33	0	0	999
33	1	896	101
33	2	0	101
33	3	0	101
34	0	0	1029
34	1	925	102
34	2	0	102
34	3	0	102
35	0	0	1059
35	1	955	102
35	2	0	102
35	3	0	102
36	0	0	1089
36	1	985	102
36	2	0	102
36	3	0	102
37	0	0	1119
37	1	1014	103
37	2	0	103
37	3	0	103
38	0	0	1149
38	1	1043	104
38	2	0	104
38	3	0	104
39	0	0	1179
39	1	1073	104
39	2	0	104
39	3	0	104
40	0	0	1209
40	1	1103	104
40	2	0	104
40	3	0	104
41	0	0	1239
41	1	1133	104
41	2	0	104
41	3	0	104
42	0	0	1269
42	1	1163	104
42	2	0	104
42	3	0	104
43	0	0	1299
43	1	1193	104
43	2	0	104
43	3	0	104
44	0	0	1329
44	1	1222	105
44	2	0	105
44	3	0	105
45	0	0	1359
45	1	1252	105
45	2	0	105
45	3	0	105
46	0	0	1389
46	1	1282	105
46	2	0	105
46	3	0	105
47	0	0	1419
47	1	1312	105
47	2	0	105
47	3	0	105
48	0	0	1449
48	1	1342	105
48	2	0	105
48	3	0	105
49	0	0	1479
49	1	1371	106
49	2	0	106
49	3	0	106
